Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ADAMTS6		5q12.3	AMP	302	20261	1.5%	No
DAB1		1p32.2	AMP	237	20261	1.2%	No
LINC01812		2p14	HOMDEL	48	20261	0.2%	No
ELF3		1q32.1	AMP	1362	20261	6.7%	Yes
LTF		3p21.31	AMP	82	20261	0.4%	No
GPC6		13q31.3-q32.1	HOMDEL	250	20261	1.2%	No
PPA2		4q24	AMP	61	20261	0.3%	No
MAPK10		4q21.3	AMP	124	20261	0.6%	No
SETBP1		18q12.3	AMP	372	20261	1.8%	Yes
INTS1		7p22.3	AMP	900	20261	4.4%	No
MSRA		8p23.1	HOMDEL	499	20261	2.5%	No
CSNK1G1		15q22.31	AMP	109	20261	0.5%	No
SNX29		16p13.13-p13.12	AMP	249	20261	1.2%	Yes
NELL1		11p15.1	HOMDEL	358	20261	1.8%	No
PCLO		7q21.11	HOMDEL	26	20261	0.1%	Yes
ARHGEF3		3p14.3	AMP	163	20261	0.8%	No
MITF		3p13	HOMDEL	428	20261	2.1%	Yes
FANCG		9p13.3	HOMDEL	474	20261	2.3%	Yes
DGKB		7p21.2	HOMDEL	88	20261	0.4%	No
KIAA1217		10p12.2-p12.1	HOMDEL	671	20261	3.3%	No
ABL1		9q34.12	HOMDEL	368	20261	1.8%	Yes
ACSS2		20q11.22	AMP	692	20261	3.4%	No
DIAPH2		Xq21.33	AMP	263	20261	1.3%	No
ZFPM2		8q23.1	AMP	602	20261	3.0%	No
UGT2A1		4q13.3	AMP	77	20261	0.4%	No
RAB5B		12q13.2	AMP	293	20261	1.4%	No
TBX3		12q24.21	HOMDEL	210	20261	1.0%	Yes
GPATCH2L		14q24.3	HOMDEL	265	20261	1.3%	No
NDUFS1		2q33.3	AMP	130	20261	0.6%	No
GATA3		10p14	AMP	427	20261	2.1%	Yes
ENOX1		13q14.11	AMP	207	20261	1.0%	No
SENP7		3q12.3	AMP	203	20261	1.0%	No
CDKN1C		11p15.4	HOMDEL	249	20261	1.2%	Yes
ADCY1		7p12.3	HOMDEL	76	20261	0.4%	No
RANBP3		19p13.3	AMP	222	20261	1.1%	No
RGS6		14q24.2	HOMDEL	268	20261	1.3%	No
TCF7L2		10q25.2-q25.3	AMP	187	20261	0.9%	Yes
GPR158		10p12.1	HOMDEL	288	20261	1.4%	No
AKAP6		14q12	HOMDEL	360	20261	1.8%	No
CNTN5		11q22.1	AMP	199	20261	1.0%	No
STK33		11p15.4	HOMDEL	222	20261	1.1%	No
HEATR5B		2p22.2	HOMDEL	54	20261	0.3%	No
MDFI		6p21.1	AMP	477	20261	2.4%	No
PLD5		1q43	HOMDEL	61	20261	0.3%	No
MAP2K1		15q22.31	AMP	219	20261	1.1%	Yes
GRB14		2q24.3	HOMDEL	62	20261	0.3%	No
SMC3		10q25.2	AMP	159	20261	0.8%	Yes
CBL		11q23.3	HOMDEL	424	20261	2.1%	Yes
PRSS38		1q42.13	AMP	472	20261	2.3%	No
KHDRBS3		8q24.23	HOMDEL	53	20261	0.3%	No
DYNC1I1		7q21.3	HOMDEL	72	20261	0.4%	No
HPSE2		10q24.2	AMP	142	20261	0.7%	No
HSD17B3		9q22.32	AMP	123	20261	0.6%	No
CYP2C8		10q23.33	AMP	45	20261	0.2%	No
LMBRD1		6q13	HOMDEL	250	20261	1.2%	No
DLEU1		13q14.2-q14.3	HOMDEL	359	20261	1.8%	No
MAP2K2		19p13.3	AMP	545	20261	2.7%	Yes
KDM6A		Xp11.3	HOMDEL	501	20261	2.5%	Yes
PUM1		1p35.2	AMP	114	20261	0.6%	Yes
EIPR1		2p25.3	HOMDEL	78	20261	0.4%	No
LRRK2		12q12	AMP	177	20261	0.9%	Yes
GATA1		Xp11.23	AMP	353	20261	1.7%	Yes
LDLRAD3		11p13	HOMDEL	151	20261	0.7%	No
GGACT		13q32.3	HOMDEL	288	20261	1.4%	No
FANCC		9q22.32	HOMDEL	371	20261	1.8%	Yes
CDH4		20q13.33	HOMDEL	41	20261	0.2%	Yes
LRBA		4q31.3	HOMDEL	143	20261	0.7%	No
VLDLR-AS1		9p24.2	HOMDEL	500	20261	2.5%	No
LTBP2		14q24.3	AMP	147	20261	0.7%	No
BCL2L12		19q13.33	AMP	222	20261	1.1%	No
BMPR1B		4q22.3	HOMDEL	366	20261	1.8%	No
MCF2L2		3q27.1	HOMDEL	66	20261	0.3%	No
ZRSR2		Xp22.2	AMP	331	20261	1.6%	Yes
GATA2		3q21.3	AMP	630	20261	3.1%	Yes
IFT74		9p21.2	AMP	123	20261	0.6%	No
CNOT3		19q13.42	AMP	544	20261	2.7%	Yes
CRB1		1q31.3	AMP	812	20261	4.0%	No
POLR2F		22q13.1	HOMDEL	320	20261	1.6%	No
TENT4A		5p15.31	AMP	770	20261	3.8%	No
CD79B		17q23.3	HOMDEL	90	20261	0.4%	Yes
BPIFC		22q12.3	AMP	146	20261	0.7%	No
WDR72		15q21.3	HOMDEL	370	20261	1.8%	No
IGF2BP3		7p15.3	HOMDEL	81	20261	0.4%	No
LINC02551		11q24.3	HOMDEL	283	20261	1.4%	No
PAX3		2q36.1	AMP	292	20261	1.4%	Yes
GRB10		7p12.1	AMP	855	20261	4.2%	No
C3ORF67		3p14.2	HOMDEL	246	20261	1.2%	No
TCF12		15q21.3	AMP	105	20261	0.5%	Yes
ZNRF3		22q12.1	HOMDEL	419	20261	2.1%	Yes
DOCK1		10q26.2	HOMDEL	940	20261	4.6%	No
COL28A1		7p21.3	AMP	650	20261	3.2%	No
PGM5		9q21.11	HOMDEL	148	20261	0.7%	No
SUFU		10q24.32	HOMDEL	805	20261	4.0%	Yes
RNF114		20q13.13	AMP	827	20261	4.1%	No
CYLD		16q12.1	HOMDEL	437	20261	2.2%	Yes
SF3A1		22q12.2	HOMDEL	420	20261	2.1%	No
BAZ2A		12q13.3	AMP	290	20261	1.4%	No
WNT5A		3p14.3	AMP	79	20261	0.4%	No
TG		8q24.22	AMP	1260	20261	6.2%	No
RIMS2		8q22.3	AMP	613	20261	3.0%	No
MAP2K6		17q24.3	AMP	363	20261	1.8%	No
PRR7-AS1		5q35.3	HOMDEL	137	20261	0.7%	No
RCSD1		1q24.2	HOMDEL	29	20261	0.1%	No
GRB14		2q24.3	AMP	155	20261	0.8%	No
ST6GALNAC3		1p31.1	HOMDEL	324	20261	1.6%	No
SF1		11q13.1	HOMDEL	219	20261	1.1%	No
ADAMTS19		5q23.3	HOMDEL	115	20261	0.6%	No
RIPK3		14q12	HOMDEL	208	20261	1.0%	No
GALNT2		1q42.13	AMP	806	20261	4.0%	No
STAT6		12q13.3	AMP	781	20261	3.9%	Yes
MUTYH		1p34.1	HOMDEL	461	20261	2.3%	Yes
NETO1		18q22.3	HOMDEL	266	20261	1.3%	No
LINC02147		5q23.1	AMP	200	20261	1.0%	No
ARID1A		1p36.11	HOMDEL	608	20261	3.0%	Yes
HIST1H3C		6p22.2	HOMDEL	95	20261	0.5%	Yes
CLEC19A		16p12.3	AMP	224	20261	1.1%	No
PAK5		20p12.2	AMP	478	20261	2.4%	Yes
LPP		3q27.3-q28	HOMDEL	103	20261	0.5%	Yes
PKHD1		6p12.3-p12.2	AMP	348	20261	1.7%	No
SLC9A7		Xp11.3|Xp11.3	AMP	279	20261	1.4%	No
LMCD1		3p25.3	AMP	138	20261	0.7%	No
INPP5F		10q26.11	AMP	63	20261	0.3%	No
RHOA		3p21.31	AMP	329	20261	1.6%	Yes
FAF1		1p32.3	AMP	109	20261	0.5%	Yes
ARMH4		14q23.1	AMP	178	20261	0.9%	No
CRADD		12q22	AMP	237	20261	1.2%	No
NBN		8q21.3	AMP	1583	20261	7.8%	Yes
RIMBP2		12q24.33	AMP	232	20261	1.1%	No
PTPRT		20q12-q13.11	AMP	1205	20261	5.9%	Yes
LINC00871		14q21.2	AMP	126	20261	0.6%	No
BAZ2A		12q13.3	HOMDEL	63	20261	0.3%	No
LAMB3		1q32.2	HOMDEL	44	20261	0.2%	No
VASP		19q13.32	AMP	283	20261	1.4%	No
IGFBP2		2q35	AMP	124	20261	0.6%	No
PTK2B		8p21.2	HOMDEL	325	20261	1.6%	No
NR2C2		3p25.1	AMP	118	20261	0.6%	No
PCDH11X		Xq21.31	HOMDEL	401	20261	2.0%	No
LRRC8B		1p22.2	AMP	88	20261	0.4%	No
LINC01982		17q22	AMP	412	20261	2.0%	No
JAK3		19p13.11	HOMDEL	242	20261	1.2%	Yes
XRCC6P5		Xq22.1	AMP	50	20261	0.2%	No
RAD21		8q24.11	AMP	1857	20261	9.2%	Yes
STAG2		Xq25	HOMDEL	566	20261	2.8%	Yes
ASB15		7q31.32	AMP	806	20261	4.0%	No
IL7R		5p13.2	HOMDEL	91	20261	0.4%	Yes
MTERF1		7q21.2	AMP	610	20261	3.0%	No
ZNF615		19q13.41	AMP	185	20261	0.9%	No
ARHGAP25		2p13.3	AMP	131	20261	0.6%	No
DEF8		16q24.3	HOMDEL	421	20261	2.1%	No
MAP3K7		6q15	HOMDEL	663	20261	3.3%	Yes
SCRN1		7p14.3	AMP	593	20261	2.9%	No
TMEM181		6q25.3	AMP	97	20261	0.5%	No
SGCZ		8p22	AMP	416	20261	2.1%	No
C5ORF34		5p12	AMP	330	20261	1.6%	No
FTO		16q12.2	AMP	241	20261	1.2%	No
DDX52		17q12	HOMDEL	118	20261	0.6%	No
CRIM1		2p22.2	HOMDEL	54	20261	0.3%	No
NEGR1		1p31.1	AMP	208	20261	1.0%	Yes
FRMD4A		10p13	HOMDEL	367	20261	1.8%	No
CECR7		22q11.1	AMP	174	20261	0.9%	No
RANBP3		19p13.3	HOMDEL	163	20261	0.8%	No
COL22A1		8q24.23-q24.3	HOMDEL	77	20261	0.4%	No
LINC02217		5p15.1	HOMDEL	74	20261	0.4%	No
AMER1		Xq11.2	HOMDEL	602	20261	3.0%	Yes
CTNNA3		10q21.3	AMP	97	20261	0.5%	No
SLC35F1		6q22.2-q22.31	HOMDEL	331	20261	1.6%	No
PAX3		2q36.1	HOMDEL	167	20261	0.8%	Yes
PKP2		12p11.21	AMP	278	20261	1.4%	No
IGF2R		6q25.3	AMP	208	20261	1.0%	No
MTUS2		13q12.3	AMP	238	20261	1.2%	No
ATG16L1		2q37.1	AMP	126	20261	0.6%	No
SLC2A9		4p16.1	AMP	151	20261	0.7%	No
BTG1		12q21.33	AMP	432	20261	2.1%	Yes
LINC01317		2p22.3	HOMDEL	97	20261	0.5%	No
PACSIN2		22q13.2	HOMDEL	452	20261	2.2%	No
DAXX		6p21.32	AMP	781	20261	3.9%	Yes
ZBTB20		3q13.31	AMP	521	20261	2.6%	Yes
FAM19A2		12q14.1	AMP	367	20261	1.8%	No
NCOA2		8q13.3	AMP	1420	20261	7.0%	Yes
CLMP		11q24.1	HOMDEL	198	20261	1.0%	No
CFAP47		Xp21.1	AMP	66	20261	0.3%	No
RAD51		15q15.1	AMP	262	20261	1.3%	Yes
PTCHD4		6p12.3	HOMDEL	97	20261	0.5%	No
ITPR1		3p26.1	AMP	127	20261	0.6%	No
CCDC12		3p21.31	HOMDEL	206	20261	1.0%	No
C1ORF109		1p34.3	AMP	181	20261	0.9%	No
APOBEC3G		22q13.1	AMP	119	20261	0.6%	No
BTK		Xq22.1	AMP	254	20261	1.3%	Yes
IGF2		11p15.5	AMP	177	20261	0.9%	Yes
ZNF546		19q13.2	HOMDEL	150	20261	0.7%	No
EBF1		5q33.3	AMP	401	20261	2.0%	Yes
DIS3L2		2q37.1	HOMDEL	148	20261	0.7%	No
LY86		6p25.1	AMP	405	20261	2.0%	No
RAD51C		17q22	AMP	955	20261	4.7%	Yes
CELF2		10p14	HOMDEL	363	20261	1.8%	No
MIR184		15q25.1	HOMDEL	112	20261	0.6%	No
SOX10		22q13.1	HOMDEL	420	20261	2.1%	Yes
PACSIN1		6p21.31	AMP	248	20261	1.2%	No
FAM189A2		9q21.12	HOMDEL	142	20261	0.7%	No
IGF1R		15q26.3	AMP	436	20261	2.2%	Yes
CHMP1B2P		Xq21.1	AMP	29	20261	0.1%	No
FRMD4B		3p14.1	AMP	122	20261	0.6%	No
TJP1		15q13.1	HOMDEL	215	20261	1.1%	No
WT1		11p13	AMP	265	20261	1.3%	Yes
HS3ST4		16p12.1	HOMDEL	88	20261	0.4%	No
RYR2		1q43	HOMDEL	66	20261	0.3%	No
TRAF3		14q32.32	AMP	403	20261	2.0%	Yes
ITPK1		14q32.12	HOMDEL	249	20261	1.2%	No
PAX8		2q14.1	AMP	420	20261	2.1%	Yes
BAZ2B		2q24.2	AMP	152	20261	0.8%	No
DANT2		Xq23	AMP	199	20261	1.0%	No
C16ORF45		16p13.11	AMP	233	20261	1.1%	No
CDH12		5p14.3	HOMDEL	49	20261	0.2%	No
VAPB		20q13.32	HOMDEL	32	20261	0.2%	No
BUB1		2q13	AMP	120	20261	0.6%	No
VSIG1		Xq22.3	HOMDEL	196	20261	1.0%	No
LINC02551		11q24.3	AMP	166	20261	0.8%	No
IPMK		10q21.1	HOMDEL	702	20261	3.5%	No
SLC16A7		12q14.1	HOMDEL	59	20261	0.3%	No
FMR1		Xq27.3	AMP	64	20261	0.3%	No
LINC00462		13q14.2	HOMDEL	375	20261	1.9%	No
HDAC4		2q37.3	AMP	379	20261	1.9%	Yes
PRDM2		1p36.21	AMP	136	20261	0.7%	No
CDH3		16q22.1	AMP	220	20261	1.1%	No
CIC		19q13.2	AMP	454	20261	2.2%	Yes
POLR1E		9p13.2	HOMDEL	212	20261	1.0%	No
GPR75-ASB3		2p16.2	HOMDEL	38	20261	0.2%	No
IPO8		12p11.21	HOMDEL	85	20261	0.4%	No
CDC73		1q31.2	HOMDEL	87	20261	0.4%	Yes
NRAS		1p13.2	HOMDEL	491	20261	2.4%	Yes
BAIAP2L1		7q21.3-q22.1	AMP	828	20261	4.1%	No
SPPL2A		15q21.2	HOMDEL	176	20261	0.9%	No
ANKRD55		5q11.2	AMP	120	20261	0.6%	No
FRMPD4		Xp22.2	AMP	255	20261	1.3%	No
CCT6P3		7q11.21	AMP	787	20261	3.9%	No
GPATCH2L		14q24.3	AMP	162	20261	0.8%	No
PDE1C		7p14.3	AMP	961	20261	4.7%	No
CRLF2		Xp22.33 and Yp11.2	HOMDEL	1480	20261	7.3%	Yes
PRKAR1A		17q24.2	AMP	987	20261	4.9%	Yes
ASIC2		17q11.2-q12	AMP	430	20261	2.1%	No
GNG12		1p31.3	AMP	129	20261	0.6%	No
CDH4		20q13.33	AMP	853	20261	4.2%	Yes
GNA13		17q24.1	AMP	1010	20261	5.0%	Yes
SHH		7q36.3	AMP	1391	20261	6.9%	No
C4ORF19		4p14	HOMDEL	122	20261	0.6%	No
VGLL3		3p12.1	HOMDEL	164	20261	0.8%	No
OR2C1		16p13.3	AMP	312	20261	1.5%	No
USP6		17p13.2	AMP	227	20261	1.1%	Yes
MAML3		4q31.1	AMP	170	20261	0.8%	No
RBFOX3		17q25.3	HOMDEL	57	20261	0.3%	No
OR51B5		11p15.4	AMP	97	20261	0.5%	No
BCORL1		Xq26.1	HOMDEL	582	20261	2.9%	Yes
APOBEC3G		22q13.1	HOMDEL	515	20261	2.5%	No
SMYD3		1q44	HOMDEL	62	20261	0.3%	Yes
RGS6		14q24.2	AMP	156	20261	0.8%	No
NID2		14q22.1	HOMDEL	172	20261	0.8%	No
TRPV3		17p13.2	AMP	133	20261	0.7%	No
TNFSF11		13q14.11	AMP	212	20261	1.0%	No
RALGAPA1		14q13.2	HOMDEL	163	20261	0.8%	No
IRF4		6p25.3	AMP	611	20261	3.0%	Yes
GABRA2		4p12	HOMDEL	147	20261	0.7%	No
CDKL2		4q21.1	AMP	76	20261	0.4%	No
C1ORF21		1q25.3	AMP	503	20261	2.5%	No
RGS17		6q25.2	AMP	215	20261	1.1%	No
NPLOC4		17q25.3	AMP	375	20261	1.9%	No
ARHGEF9		Xq11.1	HOMDEL	398	20261	2.0%	No
SNCAIP		5q23.2	AMP	421	20261	2.1%	Yes
CACNA2D3		3p21.1-p14.3	AMP	74	20261	0.4%	No
EDAR		2q13	HOMDEL	38	20261	0.2%	No
NTRK3		15q25.3	HOMDEL	308	20261	1.5%	Yes
FANK1		10q26.2	HOMDEL	479	20261	2.4%	No
CRKL		22q11.21	AMP	440	20261	2.2%	Yes
IRF3		19q13.33	AMP	219	20261	1.1%	No
HIVEP3		1p34.2	HOMDEL	445	20261	2.2%	No
CRLS1		20p12.3	HOMDEL	99	20261	0.5%	No
STAT3		17q21.2	AMP	739	20261	3.6%	Yes
PDXDC1		16p13.11	HOMDEL	51	20261	0.3%	No
KLHL1		13q21.33	AMP	111	20261	0.5%	No
LIFR-AS1		5p13.1	AMP	768	20261	3.8%	No
KDM6A		Xp11.3	AMP	354	20261	1.7%	Yes
SF1		11q13.1	AMP	408	20261	2.0%	No
ARHGAP15		2q22.2-q22.3	AMP	124	20261	0.6%	No
SCFD2		4q12	AMP	454	20261	2.2%	No
TOX		8q12.1	HOMDEL	55	20261	0.3%	No
CLEC19A		16p12.3	HOMDEL	84	20261	0.4%	No
STAT4		2q32.2-q32.3	AMP	347	20261	1.7%	Yes
C20ORF85		20q13.32	AMP	866	20261	4.3%	No
SRPX		Xp11.4	HOMDEL	152	20261	0.8%	No
CBR3		21q22.12	AMP	220	20261	1.1%	No
CHD4		12p13.31	HOMDEL	179	20261	0.9%	Yes
WDR59		16q23.1	AMP	173	20261	0.9%	No
PALLD		4q32.3	AMP	66	20261	0.3%	No
TRIM9		14q22.1	AMP	214	20261	1.1%	No
CLCC1		1p13.3	AMP	84	20261	0.4%	No
ASXL3		18q12.1	HOMDEL	261	20261	1.3%	No
NUBPL		14q12	HOMDEL	199	20261	1.0%	No
CHRM3		1q43	AMP	467	20261	2.3%	No
C5ORF17		5p14.2	HOMDEL	51	20261	0.3%	No
AOX3P-AOX2P		2q33.1	AMP	170	20261	0.8%	No
ACAP2		3q29	HOMDEL	88	20261	0.4%	No
STAT6		12q13.3	HOMDEL	181	20261	0.9%	Yes
SETD2		3p21.31	AMP	324	20261	1.6%	Yes
PTCH1		9q22.32	HOMDEL	378	20261	1.9%	Yes
MYO16		13q33.3	AMP	179	20261	0.9%	No
CASS4		20q13.31	HOMDEL	23	20261	0.1%	No
CDON		11q24.2	HOMDEL	270	20261	1.3%	No
DPP10		2q14.1	AMP	111	20261	0.5%	No
SLC25A21		14q13.3	HOMDEL	391	20261	1.9%	No
ANXA3		4q21.21	AMP	62	20261	0.3%	No
SLC38A6		14q23.1	HOMDEL	190	20261	0.9%	No
MAST4		5q12.3	AMP	114	20261	0.6%	No
PRKCA		17q24.2	AMP	1079	20261	5.3%	No
EXTL3		8p21.1	HOMDEL	297	20261	1.5%	No
FGF23		12p13.32	AMP	750	20261	3.7%	Yes
LINC01681		1q24.2	HOMDEL	32	20261	0.2%	No
CNMD		13q14.3	HOMDEL	401	20261	2.0%	No
KDR		4q12	AMP	720	20261	3.6%	Yes
PPP2R1A		19q13.41	HOMDEL	420	20261	2.1%	Yes
ADAMTS9		3p14.1	AMP	77	20261	0.4%	No
PALB2		16p12.2	AMP	375	20261	1.9%	Yes
BTK		Xq22.1	HOMDEL	581	20261	2.9%	Yes
NCAM2		21q21.1	AMP	448	20261	2.2%	No
LINC02511		4q28.3	AMP	85	20261	0.4%	No
BABAM2		2p23.2	HOMDEL	50	20261	0.2%	No
SLC9A7		Xp11.3|Xp11.3	HOMDEL	144	20261	0.7%	No
LINC00487		2p25.2	HOMDEL	77	20261	0.4%	No
PCSK6		15q26.3	HOMDEL	274	20261	1.4%	No
AQP9		15q21.3	HOMDEL	193	20261	1.0%	No
PRKCB		16p12.2-p12.1	AMP	214	20261	1.1%	Yes
PDZRN3		3p13	AMP	197	20261	1.0%	No
CCDC171		9p22.3	AMP	233	20261	1.1%	No
ANO2		12p13.31	HOMDEL	196	20261	1.0%	No
ERRFI1		1p36.23	AMP	309	20261	1.5%	Yes
CDH19		18q22.1	HOMDEL	346	20261	1.7%	No
ST3GAL6		3q12.1	AMP	207	20261	1.0%	No
RELL2		5q31.3	AMP	141	20261	0.7%	No
GSG1L		16p12.1	HOMDEL	73	20261	0.4%	No
NREP		5q22.1	AMP	195	20261	1.0%	No
SMAD2		18q21.1	HOMDEL	556	20261	2.7%	Yes
ZYX		7q34	AMP	849	20261	4.2%	No
DPYD		1p21.3	HOMDEL	330	20261	1.6%	Yes
EPG5		18q12.3-q21.1	HOMDEL	241	20261	1.2%	No
RP1L1		8p23.1	AMP	160	20261	0.8%	No
C17ORF99		17q25.3	AMP	618	20261	3.1%	No
ABLIM3		5q32	HOMDEL	137	20261	0.7%	No
DNAH3		16p12.3	HOMDEL	66	20261	0.3%	No
ISX-AS1		22q12.3	AMP	137	20261	0.7%	No
COL11A1		1p21.1	AMP	82	20261	0.4%	No
THSD7B		2q22.1	HOMDEL	153	20261	0.8%	No
STX18-AS1		4p16.2	AMP	175	20261	0.9%	No
MDM4		1q32.1	AMP	1539	20261	7.6%	Yes
FGF12		3q28-q29	HOMDEL	188	20261	0.9%	Yes
NLGN4X		Xp22.32-p22.31	AMP	335	20261	1.7%	No
RB1		13q14.2	AMP	292	20261	1.4%	Yes
KLF4		9q31.2	AMP	354	20261	1.7%	Yes
GRIK2		6q16.3	AMP	60	20261	0.3%	No
PMS2		7p22.1	AMP	1841	20261	9.1%	Yes
HEY1		8q21.13	AMP	1534	20261	7.6%	Yes
NOVA1		14q12	AMP	132	20261	0.7%	No
ULK4		3p22.1	HOMDEL	220	20261	1.1%	No
MSH6		2p16.3	HOMDEL	153	20261	0.8%	Yes
COL2A1		12q13.11	HOMDEL	171	20261	0.8%	Yes
TCERG1L		10q26.3	HOMDEL	501	20261	2.5%	No
MDM2		12q15	AMP	1074	20261	5.3%	Yes
SHB		9p13.1	AMP	404	20261	2.0%	No
PTER		10p13	AMP	171	20261	0.8%	No
GRID2		4q22.1-q22.2	AMP	60	20261	0.3%	No
ARHGAP23		17q12	AMP	288	20261	1.4%	No
GMDS		6p25.3	AMP	386	20261	1.9%	No
CROCC2		2q37.3	AMP	136	20261	0.7%	No
MAP2K6		17q24.3	HOMDEL	47	20261	0.2%	No
LUM		12q21.33	AMP	189	20261	0.9%	No
LRRC61		7q36.1	AMP	620	20261	3.1%	No
KIAA0825		5q15	HOMDEL	198	20261	1.0%	No
CTCF		16q22.1	HOMDEL	550	20261	2.7%	Yes
ADGRV1		5q14.3	AMP	110	20261	0.5%	No
ATF7IP2		16p13.2-p13.13	HOMDEL	53	20261	0.3%	No
MAP3K5		6q23.3	HOMDEL	614	20261	3.0%	No
COL21A1		6p12.1|6p12.3-p11.2	HOMDEL	80	20261	0.4%	No
DAGLA		11q12.2	AMP	151	20261	0.7%	No
FARS2		6p25.1	AMP	402	20261	2.0%	No
CCDC171		9p22.3	HOMDEL	474	20261	2.3%	No
TIFA		4q25	HOMDEL	208	20261	1.0%	No
LDLRAD4		18p11.21	HOMDEL	300	20261	1.5%	No
SMARCA2		9p24.3	AMP	401	20261	2.0%	Yes
MPP7		10p12.1	HOMDEL	286	20261	1.4%	No
EDIL3		5q14.3	HOMDEL	188	20261	0.9%	No
LINC01162		7p21.1-p15.3	AMP	637	20261	3.1%	No
KDM5A		12p13.33	AMP	809	20261	4.0%	Yes
A1CF		10q11.23	HOMDEL	320	20261	1.6%	No
NDUFAF6		8q22.1	AMP	1088	20261	5.4%	No
C11ORF95		11q13.1	AMP	194	20261	1.0%	No
WDR70		5p13.2	AMP	1126	20261	5.6%	No
MDM4		1q32.1	HOMDEL	61	20261	0.3%	Yes
NOTCH4		6p21.32	AMP	366	20261	1.8%	Yes
FHOD3		18q12.2	HOMDEL	270	20261	1.3%	No
MAPK14		6p21.31	AMP	246	20261	1.2%	No
TTC28		22q12.1	AMP	95	20261	0.5%	No
CHST11		12q23.3	AMP	377	20261	1.9%	No
LRRC8C		1p22.2	AMP	130	20261	0.6%	No
ASB2		14q32.12	HOMDEL	243	20261	1.2%	No
CEACAM20		19q13.31	AMP	212	20261	1.0%	No
CNGA1		4p12	AMP	86	20261	0.4%	No
GRIA4		11q22.3	AMP	177	20261	0.9%	No
NBPF20		1q21.1	AMP	1277	20261	6.3%	No
VSTM5		11q21	HOMDEL	203	20261	1.0%	No
COG2		1q42.2	HOMDEL	64	20261	0.3%	No
FLT4		5q35.3	AMP	653	20261	3.2%	Yes
MCC		5q22.2	HOMDEL	355	20261	1.8%	No
NOTCH3		19p13.12	AMP	685	20261	3.4%	Yes
AFF3		2q11.2	HOMDEL	38	20261	0.2%	Yes
SMARCA4		19p13.2	AMP	592	20261	2.9%	Yes
ROCK2		2p25.1	HOMDEL	70	20261	0.3%	No
NOTCH2		1p12	AMP	776	20261	3.8%	Yes
ANO1		11q13.3	AMP	523	20261	2.6%	No
GRID1		10q23.1-q23.2	AMP	82	20261	0.4%	No
ARNTL		11p15.3	HOMDEL	200	20261	1.0%	No
SH3PXD2B		5q35.1	HOMDEL	133	20261	0.7%	No
LINC02389		12q14.3	HOMDEL	59	20261	0.3%	No
LHFPL3		7q22.2-q22.3	AMP	810	20261	4.0%	No
ZBTB8A		1p35.1	AMP	135	20261	0.7%	No
CRYL1		13q12.11	HOMDEL	260	20261	1.3%	No
PLCB4		20p12.3-p12.2	HOMDEL	205	20261	1.0%	No
IMMP1L		11p13	HOMDEL	157	20261	0.8%	No
LINC00536		8q23.3	HOMDEL	42	20261	0.2%	No
SNTG1		8q11.21	AMP	409	20261	2.0%	No
DRG2		17p11.2	HOMDEL	246	20261	1.2%	No
CCDC60		12q24.23	HOMDEL	79	20261	0.4%	No
SMARCB1		22q11.23|22q11	AMP	276	20261	1.4%	Yes
FLT3		13q12.2	AMP	398	20261	2.0%	Yes
TSPAN5		4q23	HOMDEL	211	20261	1.0%	No
KMT2B		19q13.12	AMP	766	20261	3.8%	Yes
USP49		6p21.1	AMP	265	20261	1.3%	No
DNAJA3		16p13.3	AMP	199	20261	1.0%	No
CHN2		7p14.3	AMP	978	20261	4.8%	No
C16ORF45		16p13.11	HOMDEL	90	20261	0.4%	No
NRIP3		11p15.4	HOMDEL	208	20261	1.0%	No
PLEKHA5		12p12.3	AMP	278	20261	1.4%	No
B3GALT5-AS1		21q22.2	HOMDEL	122	20261	0.6%	No
DOCK9		13q32.3	HOMDEL	292	20261	1.4%	No
SLC6A17		1p13.3	HOMDEL	319	20261	1.6%	No
DNAH17		17q25.3	HOMDEL	40	20261	0.2%	No
NOTCH1		9q34.3	AMP	682	20261	3.4%	Yes
RBM20		10q25.2	HOMDEL	799	20261	3.9%	No
YWHAE		17p13.3	AMP	408	20261	2.0%	Yes
C10ORF90		10q26.2	AMP	114	20261	0.6%	No
TRABD2B		1p33	AMP	128	20261	0.6%	No
BCYRN1		2p21	AMP	54	20261	0.3%	No
ZFPM1		16q24.2	AMP	238	20261	1.2%	No
SLC25A21		14q13.3	AMP	485	20261	2.4%	No
HECW1		7p14.1-p13	HOMDEL	133	20261	0.7%	No
GABRB1		4p12	HOMDEL	141	20261	0.7%	No
RELL2		5q31.3	HOMDEL	96	20261	0.5%	No
KCNQ3		8q24.22	AMP	1276	20261	6.3%	No
MTR		1q43	AMP	473	20261	2.3%	No
KCNQ5		6q13	HOMDEL	468	20261	2.3%	No
CNTNAP4		16q23.1	HOMDEL	233	20261	1.1%	No
SLITRK6		13q31.1	AMP	139	20261	0.7%	No
PEPD		19q13.11	HOMDEL	136	20261	0.7%	No
ITPK1		14q32.12	AMP	182	20261	0.9%	No
MS4A1		11q12.2	HOMDEL	113	20261	0.6%	Yes
RAC1		7p22.1	AMP	1729	20261	8.5%	Yes
ZCWPW2		3p24.1	AMP	96	20261	0.5%	No
TCF4		18q21.2	HOMDEL	326	20261	1.6%	No
